1,Suicidas,Raphael Montes,2012,Suspense
2,Dias Perfeitos,Raphael Montes,2014,Thriller Psicológico
3,O Vilarejo,Raphael Montes,2015,Terror
4,Jantar Secreto,Raphael Montes,2016,Suspense
5,Bom Dia Verônica,Raphael Montes,2016,Policial
6,Uma Mulher no Escuro,Raphael Montes,2019,Suspense
7,A Magica Mortal,Raphael Montes,2023,Mistério
8,Uma Família Feliz,Raphael Montes,2024,Suspense
9,O Pavilhão dos Esquecidos,Raphael Montes,2025,Suspense
10,Praia dos Ossos,Raphael Montes,2017,Crime

11,A Empregada,Freida McFadden,2022,Thriller
12,O Segredo da Empregada,Freida McFadden,2023,Thriller
13,A Empregada Está de Olho,Freida McFadden,2024,Thriller
14,A Professora,Freida McFadden,2024,Suspense
15,Nunca Minta,Freida McFadden,2022,Thriller Psicológico
16,A Ala dos Pacientes Especiais,Freida McFadden,2023,Suspense
17,A Ex,Freida McFadden,2019,Thriller
18,O Presidiario,Freida McFadden,2022,Suspense
19,A Housemaids Wedding,Freida McFadden,2024,Novela
20,The Locked Door,Freida McFadden,2021,Thriller

21,Carrie - A Estranha,Stephen King,1974,Terror
22,O Iluminado,Stephen King,1977,Terror
23,A Dança da Morte,Stephen King,1978,Terror
24,Cujo,Stephen King,1981,Terror
25,It A Coisa,Stephen King,1986,Terror
26,Misery,Stephen King,1987,Suspense
27,O Cemiterio,Stephen King,1983,Terror
28,Doutor Sono,Stephen King,2013,Terror
29,Outsider,Stephen King,2018,Suspense
30,Conto de Fadas,Stephen King,2022,Fantasia
